id,location,one_time_participant
0,OP,False
1,BS,False
2,BS,True
3,BS,False
4,KP,False
5,HB,False
6,BA,False
7,BA,True
8,SD,False
9,HA,True
10,BA,True
11,OP,False
12,BS,False
13,BS,True
14,BS,True
15,BA,True
16,ST,False
17,BA,False
18,GO,False
19,OP,False
20,BA,True
21,BA,False
22,OP,True
23,ST,True
24,BA,True
25,BA,True
26,ST,False
27,OP,False
28,GO,False
29,BS,True
30,BO,True
31,BS,True
32,OP,True
33,BA,False
34,BA,True
35,BS,True
36,OP,True
37,BS,False
38,OP,False
39,OP,True
40,BA,False
41,BA,True
42,BS,True
43,BS,True
44,OP,False
45,BS,False
46,ST,True
47,BA,True
48,BA,True
49,BA,True
50,OP,True
51,OP,True
